circuitId,name,location,country,lat,lng
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719
nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475
portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389
vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173
madring,Madring,Madrid,Spain,40.46528,-3.61528
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
