year,round,constructorId,points,wins,position
2018,1,ferrari,40,1,1
2018,1,mercedes,22,0,2
2018,1,red_bull,20,0,3
2018,1,mclaren,12,0,4
2018,1,renault,7,0,5
2018,1,force_india,0,0,6
2018,1,sauber,0,0,7
2018,1,williams,0,0,8
2018,1,toro_rosso,0,0,9
2018,1,haas,0,0,-
2018,2,ferrari,65,2,1
2018,2,mercedes,55,0,2
2018,2,mclaren,22,0,3
2018,2,red_bull,20,0,4
2018,2,renault,15,0,5
2018,2,toro_rosso,12,0,6
2018,2,haas,10,0,7
2018,2,sauber,2,0,8
2018,2,force_india,1,0,9
2018,2,williams,0,0,10
2018,3,mercedes,85,0,1
2018,3,ferrari,84,2,2
2018,3,red_bull,55,1,3
2018,3,mclaren,28,0,4
2018,3,renault,25,0,5
2018,3,toro_rosso,12,0,6
2018,3,haas,11,0,7
2018,3,sauber,2,0,8
2018,3,force_india,1,0,9
2018,3,williams,0,0,10
2018,4,ferrari,114,2,1
2018,4,mercedes,110,1,2
2018,4,red_bull,55,1,3
2018,4,mclaren,36,0,4
2018,4,renault,35,0,5
2018,4,force_india,16,0,6
2018,4,toro_rosso,13,0,7
2018,4,haas,11,0,8
2018,4,sauber,10,0,9
2018,4,williams,4,0,10
2018,5,mercedes,153,2,1
2018,5,ferrari,126,2,2
2018,5,red_bull,80,1,3
2018,5,renault,41,0,4
2018,5,mclaren,40,0,5
2018,5,haas,19,0,6
2018,5,force_india,18,0,7
2018,5,toro_rosso,13,0,8
2018,5,sauber,11,0,9
2018,5,williams,4,0,10
2018,6,mercedes,178,2,1
2018,6,ferrari,156,2,2
2018,6,red_bull,107,2,3
2018,6,renault,46,0,4
2018,6,mclaren,40,0,5
2018,6,force_india,26,0,6
2018,6,toro_rosso,19,0,7
2018,6,haas,19,0,8
2018,6,sauber,11,0,9
2018,6,williams,4,0,10
2018,7,mercedes,206,2,1
2018,7,ferrari,189,3,2
2018,7,red_bull,134,2,3
2018,7,renault,56,0,4
2018,7,mclaren,40,0,5
2018,7,force_india,28,0,6
2018,7,toro_rosso,19,0,7
2018,7,haas,19,0,8
2018,7,sauber,12,0,9
2018,7,williams,4,0,10
2018,8,mercedes,237,3,1
2018,8,ferrari,214,3,2
2018,8,red_bull,164,2,3
2018,8,renault,62,0,4
2018,8,mclaren,40,0,5
