year,round,lap,position,driverId,time,milliseconds
2018,1,1,1.0,hamilton,1:34.233,94233
2018,1,1,2.0,raikkonen,1:35.474,95474
2018,1,1,3.0,vettel,1:36.194,96194
2018,1,1,4.0,kevin_magnussen,1:37.107,97107
2018,1,1,5.0,max_verstappen,1:37.684,97684
2018,1,1,6.0,grosjean,1:38.450,98450
2018,1,1,7.0,hulkenberg,1:39.077,99077
2018,1,1,8.0,ricciardo,1:39.600,99600
2018,1,1,9.0,sainz,1:40.565,100565
2018,1,1,10.0,alonso,1:41.528,101528
2018,1,1,11.0,vandoorne,1:41.951,101951
2018,1,1,12.0,perez,1:42.341,102341
2018,1,1,13.0,ocon,1:42.906,102906
2018,1,1,14.0,stroll,1:43.434,103434
2018,1,1,15.0,bottas,1:43.824,103824
2018,1,1,16.0,ericsson,1:44.674,104674
2018,1,1,17.0,gasly,1:45.060,105060
2018,1,1,18.0,leclerc,1:45.584,105584
2018,1,1,19.0,sirotkin,1:46.494,106494
2018,1,1,20.0,brendon_hartley,2:05.584,125584
2018,1,2,1.0,hamilton,1:30.265,90265
2018,1,2,2.0,raikkonen,1:30.266,90266
2018,1,2,3.0,vettel,1:30.562,90562
2018,1,2,4.0,kevin_magnussen,1:30.830,90830
2018,1,2,5.0,max_verstappen,1:30.942,90942
2018,1,2,6.0,grosjean,1:31.033,91033
2018,1,2,7.0,hulkenberg,1:31.310,91310
2018,1,2,8.0,ricciardo,1:31.264,91264
2018,1,2,9.0,sainz,1:31.322,91322
2018,1,2,10.0,alonso,1:31.565,91565
2018,1,2,11.0,vandoorne,1:32.173,92173
2018,1,2,12.0,perez,1:32.896,92896
2018,1,2,13.0,ocon,1:32.955,92955
2018,1,2,14.0,stroll,1:33.137,93137
2018,1,2,15.0,bottas,1:33.264,93264
2018,1,2,16.0,ericsson,1:33.177,93177
2018,1,2,17.0,gasly,1:33.372,93372
2018,1,2,18.0,leclerc,1:33.775,93775
2018,1,2,19.0,sirotkin,1:34.137,94137
2018,1,2,20.0,brendon_hartley,1:37.241,97241
2018,1,3,1.0,hamilton,1:29.809,89809
2018,1,3,2.0,raikkonen,1:29.856,89856
2018,1,3,3.0,vettel,1:30.177,90177
2018,1,3,4.0,kevin_magnussen,1:31.235,91235
2018,1,3,5.0,max_verstappen,1:30.904,90904
2018,1,3,6.0,grosjean,1:31.150,91150
2018,1,3,7.0,hulkenberg,1:31.081,91081
2018,1,3,8.0,ricciardo,1:31.162,91162
2018,1,3,9.0,sainz,1:31.267,91267
2018,1,3,10.0,alonso,1:31.304,91304
2018,1,3,11.0,vandoorne,1:31.560,91560
2018,1,3,12.0,perez,1:32.004,92004
2018,1,3,13.0,ocon,1:32.581,92581
2018,1,3,14.0,stroll,1:32.654,92654
2018,1,3,15.0,bottas,1:32.580,92580
2018,1,3,16.0,ericsson,1:32.746,92746
2018,1,3,17.0,gasly,1:32.861,92861
2018,1,3,18.0,leclerc,1:32.405,92405
2018,1,3,19.0,sirotkin,1:32.573,92573
