year,round,driverId,constructorId,position,Q1,Q2,Q3
2018,1,hamilton,mercedes,1,1:22.824,1:22.051,1:21.164
2018,1,raikkonen,ferrari,2,1:23.096,1:22.507,1:21.828
2018,1,vettel,ferrari,3,1:23.348,1:21.944,1:21.838
2018,1,max_verstappen,red_bull,4,1:23.483,1:22.416,1:21.879
2018,1,ricciardo,red_bull,5,1:23.494,1:22.897,1:22.152
2018,1,kevin_magnussen,haas,6,1:23.909,1:23.300,1:23.187
2018,1,grosjean,haas,7,1:23.671,1:23.468,1:23.339
2018,1,hulkenberg,renault,8,1:23.782,1:23.544,1:23.532
2018,1,sainz,renault,9,1:23.529,1:23.061,1:23.577
2018,1,bottas,mercedes,10,1:23.686,1:22.089,
2018,1,alonso,mclaren,11,1:23.597,1:23.692,
2018,1,vandoorne,mclaren,12,1:24.073,1:23.853,
2018,1,perez,force_india,13,1:24.344,1:24.005,
2018,1,stroll,williams,14,1:24.464,1:24.230,
2018,1,ocon,force_india,15,1:24.503,1:24.786,
2018,1,brendon_hartley,toro_rosso,16,1:24.532,,
2018,1,ericsson,sauber,17,1:24.556,,
2018,1,leclerc,sauber,18,1:24.636,,
2018,1,sirotkin,williams,19,1:24.922,,
2018,1,gasly,toro_rosso,20,1:25.295,,
2018,2,vettel,ferrari,1,1:29.060,1:28.341,1:27.958
2018,2,raikkonen,ferrari,2,1:28.951,1:28.515,1:28.101
2018,2,bottas,mercedes,3,1:29.275,1:28.794,1:28.124
2018,2,hamilton,mercedes,4,1:29.396,1:28.458,1:28.220
2018,2,ricciardo,red_bull,5,1:29.552,1:28.962,1:28.398
2018,2,gasly,toro_rosso,6,1:30.121,1:29.836,1:29.329
2018,2,kevin_magnussen,haas,7,1:29.594,1:29.623,1:29.358
2018,2,hulkenberg,renault,8,1:30.260,1:29.187,1:29.570
2018,2,ocon,force_india,9,1:30.338,1:30.009,1:29.874
2018,2,sainz,renault,10,1:29.893,1:29.802,1:29.986
2018,2,brendon_hartley,toro_rosso,11,1:30.412,1:30.105,
2018,2,perez,force_india,12,1:30.218,1:30.156,
2018,2,alonso,mclaren,13,1:30.530,1:30.212,
2018,2,vandoorne,mclaren,14,1:30.479,1:30.525,
2018,2,max_verstappen,red_bull,15,1:29.374,,
2018,2,grosjean,haas,16,1:30.530,,
2018,2,ericsson,sauber,17,1:31.063,,
2018,2,sirotkin,williams,18,1:31.414,,
2018,2,leclerc,sauber,19,1:31.420,,
2018,2,stroll,williams,20,1:31.503,,
2018,3,vettel,ferrari,1,1:32.171,1:32.385,1:31.095
2018,3,raikkonen,ferrari,2,1:32.474,1:32.286,1:31.182
2018,3,bottas,mercedes,3,1:32.921,1:32.063,1:31.625
2018,3,hamilton,mercedes,4,1:33.283,1:31.914,1:31.675
2018,3,max_verstappen,red_bull,5,1:32.932,1:32.809,1:31.796
2018,3,ricciardo,red_bull,6,1:33.877,1:32.688,1:31.948
2018,3,hulkenberg,renault,7,1:33.545,1:32.494,1:32.532
2018,3,perez,force_india,8,1:33.464,1:32.931,1:32.758
2018,3,sainz,renault,9,1:33.315,1:32.970,1:32.819
2018,3,grosjean,haas,10,1:33.238,1:32.524,1:32.855
2018,3,kevin_magnussen,haas,11,1:33.359,1:32.986,
2018,3,ocon,force_india,12,1:33.585,1:33.057,
2018,3,alonso,mclaren,13,1:33.428,1:33.232,
2018,3,vandoorne,mclaren,14,1:33.824,1:33.505,
2018,3,brendon_hartley,toro_rosso,15,1:34.013,1:33.795,
2018,3,sirotkin,williams,16,1:34.062,,
2018,3,gasly,toro_rosso,17,1:34.101,,
2018,3,stroll,williams,18,1:34.285,,
2018,3,leclerc,sauber,19,1:34.454,,
2018,3,ericsson,sauber,20,1:34.914,,
2018,4,vettel,ferrari,1,1:42.762,1:43.015,1:41.498
2018,4,hamilton,mercedes,2,1:42.693,1:42.676,1:41.677
2018,4,bottas,mercedes,3,1:43.355,1:42.679,1:41.837
2018,4,ricciardo,red_bull,4,1:42.857,1:43.482,1:41.911
2018,4,max_verstappen,red_bull,5,1:42.642,1:42.901,1:41.994
2018,4,raikkonen,ferrari,6,1:42.538,1:42.510,1:42.490
2018,4,ocon,force_india,7,1:43.021,1:42.967,1:42.523
2018,4,perez,force_india,8,1:43.992,1:43.366,1:42.547
2018,4,hulkenberg,renault,9,1:43.746,1:43.232,1:43.066
2018,4,sainz,renault,10,1:43.426,1:43.464,1:43.351
2018,4,stroll,williams,11,1:44.359,1:43.585,
2018,4,sirotkin,williams,12,1:44.261,1:43.886,
2018,4,alonso,mclaren,13,1:44.010,1:44.019,
2018,4,leclerc,sauber,14,1:43.752,1:44.074,
2018,4,kevin_magnussen,haas,15,1:43.674,1:44.759,
2018,4,vandoorne,mclaren,16,1:44.489,,
2018,4,gasly,toro_rosso,17,1:44.496,,
2018,4,ericsson,sauber,18,1:45.541,,
2018,4,brendon_hartley,toro_rosso,19,1:57.354,,
2018,4,grosjean,haas,20,,,
2018,5,hamilton,mercedes,1,1:17.633,1:17.166,1:16.173
2018,5,bottas,mercedes,2,1:17.674,1:17.111,1:16.213
2018,5,vettel,ferrari,3,1:17.031,1:16.802,1:16.305
2018,5,raikkonen,ferrari,4,1:17.483,1:17.071,1:16.612
2018,5,max_verstappen,red_bull,5,1:17.411,1:17.266,1:16.816
2018,5,ricciardo,red_bull,6,1:17.623,1:17.638,1:16.818
2018,5,kevin_magnussen,haas,7,1:18.169,1:17.618,1:17.676
2018,5,alonso,mclaren,8,1:18.276,1:18.100,1:17.721
2018,5,sainz,renault,9,1:18.480,1:17.803,1:17.790
2018,5,grosjean,haas,10,1:18.305,1:17.699,1:17.835
2018,5,vandoorne,mclaren,11,1:18.885,1:18.323,
2018,5,gasly,toro_rosso,12,1:18.550,1:18.463,
2018,5,ocon,force_india,13,1:18.813,1:18.696,
2018,5,leclerc,sauber,14,1:18.661,1:18.910,
2018,5,perez,force_india,15,1:18.740,1:19.098,
2018,5,hulkenberg,renault,16,1:18.923,,
2018,5,ericsson,sauber,17,1:19.493,,
2018,5,sirotkin,williams,18,1:19.695,,
2018,5,stroll,williams,19,1:20.225,,
2018,5,brendon_hartley,toro_rosso,20,,,
2018,6,ricciardo,red_bull,1,1:12.013,1:11.278,1:10.810
2018,6,vettel,ferrari,2,1:12.415,1:11.518,1:11.039
2018,6,hamilton,mercedes,3,1:12.460,1:11.584,1:11.232
2018,6,raikkonen,ferrari,4,1:12.639,1:11.391,1:11.266
2018,6,bottas,mercedes,5,1:12.434,1:12.002,1:11.441
2018,6,ocon,force_india,6,1:13.028,1:12.188,1:12.061
2018,6,alonso,mclaren,7,1:12.657,1:12.269,1:12.110
2018,6,sainz,renault,8,1:12.950,1:12.286,1:12.130
2018,6,perez,force_india,9,1:12.848,1:12.194,1:12.154
2018,6,gasly,toro_rosso,10,1:12.941,1:12.313,1:12.221
2018,6,hulkenberg,renault,11,1:13.065,1:12.411,
2018,6,vandoorne,mclaren,12,1:12.463,1:12.440,
2018,6,sirotkin,williams,13,1:12.706,1:12.521,
2018,6,leclerc,sauber,14,1:12.829,1:12.714,
2018,6,grosjean,haas,15,1:12.930,1:12.728,
2018,6,brendon_hartley,toro_rosso,16,1:13.179,,
2018,6,ericsson,sauber,17,1:13.265,,
2018,6,stroll,williams,18,1:13.323,,
2018,6,kevin_magnussen,haas,19,1:13.393,,
2018,6,max_verstappen,red_bull,20,,,
2018,7,vettel,ferrari,1,1:11.710,1:11.524,1:10.764
2018,7,bottas,mercedes,2,1:11.950,1:11.514,1:10.857
2018,7,max_verstappen,red_bull,3,1:12.008,1:11.472,1:10.937
2018,7,hamilton,mercedes,4,1:11.835,1:11.740,1:10.996
2018,7,raikkonen,ferrari,5,1:11.725,1:11.620,1:11.095
2018,7,ricciardo,red_bull,6,1:12.459,1:11.434,1:11.116
2018,7,hulkenberg,renault,7,1:12.795,1:11.916,1:11.973
2018,7,ocon,force_india,8,1:12.577,1:12.141,1:12.084
2018,7,sainz,renault,9,1:12.689,1:12.097,1:12.168
2018,7,perez,force_india,10,1:12.702,1:12.395,1:12.671
2018,7,kevin_magnussen,haas,11,1:12.680,1:12.606,
2018,7,brendon_hartley,toro_rosso,12,1:12.587,1:12.635,
2018,7,leclerc,sauber,13,1:12.945,1:12.661,
2018,7,alonso,mclaren,14,1:12.979,1:12.856,
2018,7,vandoorne,mclaren,15,1:12.998,1:12.865,
2018,7,gasly,toro_rosso,16,1:13.047,,
2018,7,stroll,williams,17,1:13.590,,
2018,7,sirotkin,williams,18,1:13.643,,
2018,7,ericsson,sauber,19,1:14.593,,
2018,7,grosjean,haas,20,,,
2018,8,hamilton,mercedes,1,1:31.271,1:30.645,1:30.029
2018,8,bottas,mercedes,2,1:31.776,1:31.227,1:30.147
2018,8,vettel,ferrari,3,1:31.820,1:30.751,1:30.400
2018,8,max_verstappen,red_bull,4,1:31.531,1:30.818,1:30.705
2018,8,ricciardo,red_bull,5,1:31.910,1:31.538,1:30.895
2018,8,raikkonen,ferrari,6,1:31.567,1:30.772,1:31.057
2018,8,sainz,renault,7,1:32.394,1:32.016,1:32.126
2018,8,leclerc,sauber,8,1:32.538,1:32.055,1:32.635
2018,8,kevin_magnussen,haas,9,1:32.169,1:31.510,1:32.930
2018,8,grosjean,haas,10,1:32.083,1:31.472,
2018,8,ocon,force_india,11,1:32.786,1:32.075,
2018,8,hulkenberg,renault,12,1:32.949,1:32.115,
2018,8,perez,force_india,13,1:32.692,1:32.454,
2018,8,gasly,toro_rosso,14,1:32.447,1:32.460,
2018,8,ericsson,sauber,15,1:32.804,1:32.820,
2018,8,alonso,mclaren,16,1:32.976,,
2018,8,brendon_hartley,toro_rosso,17,1:33.025,,
2018,8,vandoorne,mclaren,18,1:33.162,,
2018,8,sirotkin,williams,19,1:33.636,,
2018,8,stroll,williams,20,1:33.729,,
2018,9,bottas,mercedes,1,1:04.175,1:03.756,1:03.130
2018,9,hamilton,mercedes,2,1:04.080,1:03.577,1:03.149
2018,9,vettel,ferrari,3,1:04.347,1:03.544,1:03.464
2018,9,raikkonen,ferrari,4,1:04.234,1:03.975,1:03.660
2018,9,max_verstappen,red_bull,5,1:04.273,1:04.001,1:03.840
2018,9,grosjean,haas,6,1:04.242,1:04.059,1:03.892
2018,9,ricciardo,red_bull,7,1:04.723,1:04.403,1:03.996
2018,9,kevin_magnussen,haas,8,1:04.460,1:04.291,1:04.051
2018,9,sainz,renault,9,1:04.948,1:04.561,1:04.725
2018,9,hulkenberg,renault,10,1:04.864,1:04.676,1:05.019
2018,9,ocon,force_india,11,1:05.148,1:04.845,
2018,9,gasly,toro_rosso,12,1:05.011,1:04.874,
2018,9,leclerc,sauber,13,1:04.967,1:04.979,
2018,9,alonso,mclaren,14,1:04.965,1:05.058,
2018,9,stroll,williams,15,1:05.264,1:05.286,
2018,9,vandoorne,mclaren,16,1:05.271,,
2018,9,perez,force_india,17,1:05.279,,
2018,9,sirotkin,williams,18,1:05.322,,
2018,9,brendon_hartley,toro_rosso,19,1:05.366,,
2018,9,ericsson,sauber,20,1:05.479,,
2018,10,hamilton,mercedes,1,1:26.818,1:26.256,1:25.892
2018,10,vettel,ferrari,2,1:26.585,1:26.372,1:25.936
2018,10,raikkonen,ferrari,3,1:27.549,1:26.483,1:25.990
2018,10,bottas,mercedes,4,1:27.025,1:26.413,1:26.217
2018,10,max_verstappen,red_bull,5,1:27.309,1:27.013,1:26.602
2018,10,ricciardo,red_bull,6,1:27.979,1:27.369,1:27.099
2018,10,kevin_magnussen,haas,7,1:28.143,1:27.730,1:27.244
2018,10,grosjean,haas,8,1:28.086,1:27.522,1:27.455
2018,10,leclerc,sauber,9,1:27.962,1:27.790,1:27.879
2018,10,ocon,force_india,10,1:28.279,1:27.843,1:28.194
2018,10,hulkenberg,renault,11,1:28.017,1:27.901,
2018,10,perez,force_india,12,1:28.210,1:27.928,
2018,10,alonso,mclaren,13,1:28.187,1:28.139,
2018,10,gasly,toro_rosso,14,1:28.399,1:28.343,
2018,10,ericsson,sauber,15,1:28.249,1:28.391,
2018,10,sainz,renault,16,1:28.456,,
2018,10,vandoorne,mclaren,17,1:29.096,,
2018,10,sirotkin,williams,18,1:29.252,,
2018,10,stroll,williams,19,,,
2018,10,brendon_hartley,toro_rosso,20,,,
2018,11,vettel,ferrari,1,1:12.538,1:12.505,1:11.212
2018,11,bottas,mercedes,2,1:12.962,1:12.152,1:11.416
2018,11,raikkonen,ferrari,3,1:12.505,1:12.336,1:11.547
2018,11,max_verstappen,red_bull,4,1:13.127,1:12.188,1:11.822
2018,11,kevin_magnussen,haas,5,1:13.105,1:12.523,1:12.200
2018,11,grosjean,haas,6,1:12.986,1:12.722,1:12.544
2018,11,hulkenberg,renault,7,1:13.479,1:12.946,1:12.560
2018,11,sainz,renault,8,1:13.324,1:13.032,1:12.692
2018,11,leclerc,sauber,9,1:13.077,1:12.995,1:12.717
2018,11,perez,force_india,10,1:13.427,1:13.072,1:12.774
2018,11,alonso,mclaren,11,1:13.614,1:13.657,
2018,11,sirotkin,williams,12,1:13.708,1:13.702,
2018,11,ericsson,sauber,13,1:13.562,1:13.736,
2018,11,hamilton,mercedes,14,1:13.012,,
2018,11,ricciardo,red_bull,15,1:13.318,,
2018,11,ocon,force_india,16,1:13.720,,
2018,11,gasly,toro_rosso,17,1:13.749,,
2018,11,brendon_hartley,toro_rosso,18,1:14.045,,
2018,11,stroll,williams,19,1:14.206,,
2018,11,vandoorne,mclaren,20,1:14.401,,
2018,12,hamilton,mercedes,1,1:17.419,1:31.242,1:35.658
2018,12,bottas,mercedes,2,1:17.123,1:32.081,1:35.918
2018,12,raikkonen,ferrari,3,1:17.526,1:32.762,1:36.186
2018,12,vettel,ferrari,4,1:16.666,1:28.636,1:36.210
2018,12,sainz,renault,5,1:17.829,1:30.771,1:36.743
2018,12,gasly,toro_rosso,6,1:18.577,1:31.286,1:37.591
2018,12,max_verstappen,red_bull,7,1:16.940,1:31.178,1:38.032
2018,12,brendon_hartley,toro_rosso,8,1:18.429,1:32.590,1:38.128
2018,12,kevin_magnussen,haas,9,1:18.314,1:32.968,1:39.858
2018,12,grosjean,haas,10,1:17.901,1:33.650,1:40.593
2018,12,alonso,mclaren,11,1:18.208,1:35.214,
2018,12,ricciardo,red_bull,12,1:18.540,1:36.442,
2018,12,hulkenberg,renault,13,1:17.905,1:36.506,
2018,12,ericsson,sauber,14,1:18.641,1:37.075,
2018,12,stroll,williams,15,1:18.560,,
2018,12,vandoorne,mclaren,16,1:18.782,,
2018,12,leclerc,sauber,17,1:18.817,,
2018,12,ocon,force_india,18,1:19.142,,
2018,12,perez,force_india,19,1:19.200,,
2018,12,sirotkin,williams,20,1:19.301,,
2018,13,hamilton,mercedes,1,1:42.977,1:41.553,1:58.179
2018,13,vettel,ferrari,2,1:43.035,1:41.501,1:58.905
2018,13,ocon,force_india,3,1:44.003,1:43.302,2:01.851
2018,13,perez,force_india,4,1:44.004,1:43.014,2:01.894
2018,13,grosjean,haas,5,1:43.597,1:43.042,2:02.122
2018,13,raikkonen,ferrari,6,1:42.585,1:41.533,2:02.671
2018,13,max_verstappen,red_bull,7,1:43.199,1:42.554,2:02.769
2018,13,ricciardo,red_bull,8,1:43.604,1:43.126,2:02.939
2018,13,kevin_magnussen,haas,9,1:43.834,1:43.320,2:04.933
2018,13,bottas,mercedes,10,1:42.805,1:42.191,
2018,13,gasly,toro_rosso,11,1:44.221,1:43.844,
2018,13,brendon_hartley,toro_rosso,12,1:44.153,1:43.865,
2018,13,leclerc,sauber,13,1:43.654,1:44.062,
2018,13,ericsson,sauber,14,1:43.846,1:44.301,
2018,13,hulkenberg,renault,15,1:44.145,,
2018,13,sainz,renault,16,1:44.489,,
2018,13,alonso,mclaren,17,1:44.917,,
2018,13,sirotkin,williams,18,1:44.998,,
2018,13,stroll,williams,19,1:45.134,,
2018,13,vandoorne,mclaren,20,1:45.307,,
2018,14,raikkonen,ferrari,1,1:20.722,1:19.846,1:19.119
2018,14,vettel,ferrari,2,1:20.542,1:19.629,1:19.280
2018,14,hamilton,mercedes,3,1:20.810,1:19.798,1:19.294
2018,14,bottas,mercedes,4,1:21.381,1:20.427,1:19.656
2018,14,max_verstappen,red_bull,5,1:21.381,1:20.333,1:20.615
2018,14,grosjean,haas,6,1:21.887,1:21.239,1:20.936
2018,14,sainz,renault,7,1:21.732,1:21.552,1:21.041
2018,14,ocon,force_india,8,1:21.570,1:21.315,1:21.099
2018,14,gasly,toro_rosso,9,1:21.834,1:21.667,1:21.350
2018,14,stroll,williams,10,1:21.838,1:21.494,1:21.627
