driverId,p_podium,p_points,p_out,expected_position,dnf_rate_sim,position,grid,actual,year,round,actual_podium,actual_points,actual_out,p_podium_gr,p_points_gr,p_out_gr,p_podium_oh,p_points_oh,p_out_oh
albon,0.007,0.3935,0.5995,11.947,0.1965,14,13,3,2019,1,0.0,0.0,1.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
bottas,0.5625,0.2315,0.206,5.9055,0.203,1,2,1,2019,1,1.0,0.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,0.9999980000040002,9.99998000004e-07,9.99998000004e-07
gasly,0.001,0.135,0.864,14.003,0.1915,11,17,3,2019,1,0.0,0.0,1.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
giovinazzi,0.005,0.3125,0.6825,12.6865,0.221,15,14,3,2019,1,0.0,0.0,1.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
grosjean,0.232,0.5315,0.2365,7.8455,0.1955,18,6,3,2019,1,0.0,0.0,1.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.99998000004e-07,0.9999980000040002,9.99998000004e-07
hamilton,0.61,0.183,0.207,5.7065,0.2045,2,1,1,2019,1,1.0,0.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,0.9999980000040002,9.99998000004e-07,9.99998000004e-07
hulkenberg,0.029,0.526,0.445,10.7675,0.2065,7,11,2,2019,1,0.0,1.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
kevin_magnussen,0.1685,0.577,0.2545,8.403,0.2025,6,7,2,2019,1,0.0,1.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.99998000004e-07,0.9999980000040002,9.99998000004e-07
kubica,0.0,0.04,0.96,15.378,0.2175,17,20,3,2019,1,0.0,0.0,1.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
kvyat,0.003,0.2655,0.7315,13.0925,0.2155,10,15,2,2019,1,0.0,1.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.999980000039998e-07,9.999980000039998e-07,0.999998000004
leclerc,0.283,0.469,0.248,7.729,0.2265,5,5,2,2019,1,0.0,1.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.99998000004e-07,0.9999980000040002,9.99998000004e-07
max_verstappen,0.3835,0.4095,0.207,6.7625,0.194,3,4,1,2019,1,1.0,0.0,0.0,0.15008675534991325,0.35020242914979755,0.4997108155002892,9.99998000004e-07,0.9999980000040002,9.99998000004e-07
